Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2880,Aleatorio,100,55,0.55,2,07 - 14 - 19 - 21 - 34 - 43,08 - 14 - 15 - 33 - 34 - 54,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2881,Motor Elite 7,100,55,0.55,3,05 - 16 - 35 - 39 - 48 - 59,11 - 13 - 16 - 34 - 35 - 39,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2881,Aleatorio,100,65,0.65,3,09 - 13 - 16 - 29 - 39 - 44,11 - 13 - 16 - 34 - 35 - 39,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2882,Motor Elite 7,100,74,0.74,3,05 - 06 - 15 - 40 - 49 - 51,11 - 15 - 19 - 23 - 49 - 51,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2882,Aleatorio,100,62,0.62,3,15 - 19 - 24 - 41 - 51 - 53,11 - 15 - 19 - 23 - 49 - 51,6,6.0,2,2.0,0,0.0,0,0.0,0,0.0
2883,Motor Elite 7,100,84,0.84,3,03 - 19 - 36 - 40 - 56 - 60,01 - 40 - 43 - 56 - 57 - 60,19,19.0,1,1.0,0,0.0,0,0.0,0,0.0
2883,Aleatorio,100,62,0.62,2,02 - 06 - 26 - 40 - 43 - 45,01 - 40 - 43 - 56 - 57 - 60,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2884,Motor Elite 7,100,69,0.69,3,05 - 11 - 24 - 49 - 52 - 56,05 - 31 - 34 - 37 - 52 - 56,12,12.0,2,2.0,0,0.0,0,0.0,0,0.0
2884,Aleatorio,100,59,0.59,2,20 - 21 - 34 - 38 - 48 - 52,05 - 31 - 34 - 37 - 52 - 56,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
2885,Motor Elite 7,100,65,0.65,3,10 - 11 - 37 - 38 - 49 - 56,10 - 25 - 28 - 36 - 37 - 56,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2885,Aleatorio,100,62,0.62,2,24 - 25 - 29 - 38 - 51 - 56,10 - 25 - 28 - 36 - 37 - 56,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2886,Motor Elite 7,100,50,0.5,3,01 - 19 - 20 - 35 - 48 - 55,02 - 13 - 19 - 20 - 55 - 59,4,4.0,1,1.0,0,0.0,0,0.0,0,0.0
2886,Aleatorio,100,54,0.54,2,06 - 19 - 25 - 41 - 47 - 55,02 - 13 - 19 - 20 - 55 - 59,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2887,Motor Elite 7,100,40,0.4,3,05 - 29 - 36 - 48 - 53 - 57,14 - 29 - 30 - 50 - 53 - 57,4,4.0,1,1.0,0,0.0,0,0.0,0,0.0
2887,Aleatorio,100,61,0.61,2,01 - 12 - 27 - 29 - 50 - 52,14 - 29 - 30 - 50 - 53 - 57,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0
2888,Motor Elite 7,100,41,0.41,2,03 - 05 - 20 - 27 - 46 - 60,03 - 09 - 15 - 27 - 39 - 59,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
2888,Aleatorio,100,47,0.47,3,01 - 03 - 09 - 15 - 29 - 44,03 - 09 - 15 - 27 - 39 - 59,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
2889,Motor Elite 7,100,66,0.66,4,01 - 13 - 24 - 39 - 40 - 55,13 - 16 - 36 - 39 - 40 - 55,9,9.0,2,2.0,1,1.0,0,0.0,0,0.0
2889,Aleatorio,100,56,0.56,3,13 - 16 - 22 - 32 - 40 - 54,13 - 16 - 36 - 39 - 40 - 55,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
2890,Motor Elite 7,100,68,0.68,2,05 - 11 - 16 - 32 - 48 - 57,15 - 16 - 18 - 32 - 35 - 54,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0
2890,Aleatorio,100,65,0.65,2,16 - 29 - 33 - 47 - 54 - 59,15 - 16 - 18 - 32 - 35 - 54,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2891,Motor Elite 7,100,69,0.69,3,09 - 15 - 19 - 34 - 37 - 54,19 - 24 - 26 - 34 - 35 - 54,12,12.0,2,2.0,0,0.0,0,0.0,0,0.0
2891,Aleatorio,100,63,0.63,2,20 - 24 - 34 - 46 - 56 - 60,19 - 24 - 26 - 34 - 35 - 54,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0
